#t vv va aa
0.0 4.262508338892595 -0.0006671114076050621 20.57371581054036
1.0 1.5572238905572242 -5.412746079412746 -9.757757757757759
2.0 -1.1716455273698265 -0.044225634178905224 -0.9742990654205608
3.0 -0.8969115191986644 0.5944908180300501 -0.30550918196994986
4.0 -0.4426352705410822 0.3144622578490314 0.8674014696058783
5.0 -0.24548947544269964 0.08002004677581026 -0.39726027397260283
6.0 -0.08622994652406413 0.23863636363636365 0.07620320855614991
7.0 0.009361417586091625 -0.04747576061517886 0.4988298228017383
8.0 -0.11212374581939799 -0.19548494983277592 -0.20167224080267562
9.0 -0.16050518568082975 0.0988624958179993 -0.38708598193375726
10.0 -0.05421686746987951 0.11378848728246323 0.35475234270415
11.0 0.0308838299296954 0.056411114830934084 -0.23468362905925685
12.0 0.04663429336905562 -0.024949765572672464 0.3935030140656396
13.0 -0.09623115577889452 -0.2608040201005026 0.07805695142378563
14.0 -0.2648290884718499 -0.07623994638069702 -0.44604557640750675
15.0 -0.1562185719074757 0.2936640965471002 -0.2909822326516929
16.0 0.13438967136150237 0.2875586854460094 0.29812206572769956
17.0 0.23121435759812142 -0.09409594095940964 0.4679637705467964
18.0 0.02785234899328857 -0.31275167785234903 -0.03087248322147661
19.0 -0.08962739174219543 0.07787848271231958 -0.7492447129909364
20.0 0.039288112827400946 0.17998656816655478 0.5399597044996642
21.0 0.07767887134699361 -0.10329190460194823 0.02922405105811223
22.0 0.06964045698924733 0.08719758064516132 -0.40625
23.0 0.11445378151260509 0.0023529411764705395 0.5653781512605042
24.0 0.058507061197041 -0.11432414256893068 -0.32817753866846
25.0 -0.010679448368651177 -0.02404978136562395 0.15304406323578887
26.0 -0.06544414535666215 -0.085464333781965 -0.032974427994616605
27.0 -0.0792662403231235 0.057892965331538204 -0.2524402558061259
28.0 0.013720538720538727 0.12811447811447815 0.10942760942760953
29.0 0.02795554058605591 -0.09969686763219947 0.3489390367126978
30.0 -0.06460579514824799 -0.08541105121293796 -0.37904312668463613
31.0 -0.0785305021907651 0.05763397371081903 0.09976407145264575
32.0 0.03607552258934592 0.1716115981119353 -0.3412002697235334
33.0 0.1449409780775717 0.04603709949409777 0.6033726812816189
34.0 0.06637989203778677 -0.20327260458839405 -0.10762483130904192
35.0 -0.03569017887276408 -0.0008437394532568429 -0.30138373270334096
36.0 -0.03713706954760298 -0.0020256583389602002 0.3051991897366643
37.0 -0.007092198581560293 0.06214116852414726 -0.4349881796690308
38.0 0.059797297297297325 0.07162162162162163 0.42162162162162165
39.0 0.07367353835755323 -0.043933761405880324 -0.19466035822913152
40.0 0.0653313049357674 0.027214334009465865 0.05240027045300881
41.0 0.08200879269529929 0.006087250591816022 -0.012850862360500537
42.0 0.0689276048714479 -0.0323071718538565 0.097767253044655
43.0 0.0043993231810490595 -0.09678510998307957 0.028426395939086357
44.0 -0.06305010155721057 -0.0380839539607312 -0.14454976303317535
45.0 -0.11547578733491368 -0.06671181848967149 0.20047409414155096
46.0 -0.10289634146341461 0.09197154471544723 -0.5206639566395664
47.0 0.07455099966113186 0.26296170789562867 0.18298881735005082
48.0 0.18288135593220345 -0.04644067796610174 0.4359322033898305
49.0 0.08994574432010854 -0.13953882672092235 -0.24991522550016962
50.0 -0.006360244233378551 -0.053086838534599744 0.07428765264586172
51.0 -0.09611469290804206 -0.12639972853749581 0.07906345436036658
52.0 -0.1265274949083503 0.06568228105906308 -0.4674134419551935
53.0 -0.06154499151103565 0.06434634974533107 0.45806451612903226
54.0 -0.10657269021739134 -0.15438179347826086 -0.008491847826086928
55.0 -0.15078151546041454 0.0660890248046212 -0.4271151885830785
56.0 -0.0068830727396328815 0.22178789938817134 0.10231135282121001
57.0 0.10982658959537572 0.011560693641618497 0.3223393403604216
58.0 0.14370748299319727 0.056122448979591844 -0.4061224489795918
59.0 0.18781898604967676 0.03198366791425653 0.4491323579448794
60.0 0.06620149761742682 -0.275357385976855 0.16541865214431578
61.0 -0.10137895812053119 -0.05975485188968334 -0.5941436840313247
62.0 0.02358651226158039 0.3097752043596731 -0.1447547683923705
63.0 0.13603066439522996 -0.08500851788756396 0.93458262350937
64.0 0.012695978186775715 -0.16172460804362643 -0.786980231765508
65.0 0.06179679509035118 0.25997272417320155 -0.05352881009205572
66.0 0.14265006821282405 -0.09839699863574353 0.7677353342428376
67.0 -0.07207437734561581 -0.33111566018423744 -0.298532923916752
68.0 -0.24633105802047792 -0.017235494880546022 -0.3266211604095563
69.0 -0.10993513144417892 0.2902014339364971 -0.2895186070331171
70.0 0.12337773224043717 0.17640027322404372 0.5133196721311475
71.0 0.14332080628629998 -0.13665869490946367 0.11684318414759151
72.0 -0.005041011619958969 -0.16011619958988388 -0.06869446343130563
73.0 -0.11213675213675214 -0.05401709401709398 -0.14222222222222214
74.0 -0.040099179206566374 0.19818741450068403 -0.36491108071135436
75.0 0.07783099555251458 0.037632569278138954 0.6876496749914474
76.0 -0.03807323750855577 -0.26950718685831626 -0.0776865160848734
77.0 -0.09945224238274562 0.1468675111263266 -0.7593289969188636
78.0 0.030222602739726014 0.11250000000000004 0.842123287671233
79.0 0.03862624186365193 -0.09575196985268926 -0.43953408701610136
80.0 0.039581905414667586 0.0976696367374914 0.061000685400959494
81.0 0.10284538909838876 0.02879670894754892 0.07267740829619468
82.0 0.09662208504801094 -0.04132373113854595 0.055212620027434836
83.0 0.06569468267581476 -0.02058319039451111 -0.08713550600343051
84.0 -0.012525737817433089 -0.13589567604667122 0.32738503774879896
85.0 -0.11543082732578099 -0.06985925163062136 -0.4582904222451081
86.0 0.008327609890109883 0.3174793956043956 -0.31902472527472525
87.0 0.10752318790793546 -0.11920302301614566 1.1858467880453452
88.0 -0.07302405498281787 -0.24192439862542955 -0.9381443298969072
89.0 -0.13174630457201789 0.12461326916466132 0.19834994843588855
